id,fixedIndex,trait,question,p1,p2,p3,p4,responseLabel1,responseValue1,responseScore1,responseTrait1,responseLabel2,responseValue2,responseScore2,responseTrait2,responseLabel3,responseValue3,responseScore3,responseTrait3,responseLabel4,responseValue4,responseScore4,responseTrait4,type
1,,number,"3,6,9,12,15",1,-3.46,0,1,,18,1,,,,,,,,,,,,,,open
2,,number,"3,6,12,24,48",1,-2.12,0,1,,96,1,,,,,,,,,,,,,,open
3,,number,"3,3,6,9,15",1,-1.36,0,1,,24,1,,,,,,,,,,,,,,open
4,,number,"3,3,9,27,243",1,-1.16,0,1,,6561,1,,,,,,,,,,,,,,open
5,,number,"3,4,7,12,19",1,-0.47,0,1,,28,1,,,,,,,,,,,,,,open
6,,number,"2,3,5,9,17",1,0.04,0,1,,33,1,,,,,,,,,,,,,,open
7,,number,"3,4,6,9,14",1,1.53,0,1,,22,1,,,,,,,,,,,,,,open
8,,number,"2,3,5,7,11",1,2.48,0,1,,19,1,,,,,,,,,,,,,,open
9,,number,"1,2,8,48,384",1,0.29,0,1,,3840,1,,,,,,,,,,,,,,open
10,,number,"2,2,4,16,128",1,1.14,0,1,,2048,1,,,,,,,,,,,,,,open
11,,number,"3,3,6,18,90",1,2.27,0,1,,720,1,,,,,,,,,,,,,,open
12,,number,"1,2,4,16,128",1,2.69,0,1,,4096,1,,,,,,,,,,,,,,open
