id,fixedIndex,trait,question,p1,p2,p3,p4,responseLabel1,responseValue1,responseScore1,responseLabel2,responseValue2,responseScore2,responseLabel3,responseValue3,responseScore3,responseLabel4,responseValue4,responseScore4,type,skippable,instructions
1,,depression,"I was bothered by things that usually don't bother me.",1.275768841,-0.774060688,0.740125922,2.272353765,"Rarely or none of the time (less than 1 day)",0,0,"Some of a little of the time (1-2 days)",1,1,"Occasionally or a moderate amount of time (3-4 days)",2,2,"Most or all of the time (5-7 days)",3,3,options,,
2,,depression,"I felt that I could not shake off the blues even with help from my family.
",3.21223448,-0.493016549,0.35807302,1.103756083,"Rarely or none of the time (less than 1 day)",0,0,"Some of a little of the time (1-2 days)",1,1,"Occasionally or a moderate amount of time (3-4 days)",2,2,"Most or all of the time (5-7 days)",3,3,options,,
3,,depression,"I felt that I was just as good as other people.",1.375158419,-0.928047973,0.146536562,1.537898675,"Rarely or none of the time (less than 1 day)",0,0,"Some of a little of the time (1-2 days)",1,1,"Occasionally or a moderate amount of time (3-4 days)",2,2,"Most or all of the time (5-7 days)",3,3,options,,
4,,depression,"I had trouble keeping my mind on what I was doing.",1.147054852,-1.863221075,-0.334863684,1.253539473,"Rarely or none of the time (less than 1 day)",0,0,"Some of a little of the time (1-2 days)",1,1,"Occasionally or a moderate amount of time (3-4 days)",2,2,"Most or all of the time (5-7 days)",3,3,options,,
5,,depression,"I felt depressed.",3.850567046,-0.753075048,0.099178044,0.989446748,"Rarely or none of the time (less than 1 day)",0,0,"Some of a little of the time (1-2 days)",1,1,"Occasionally or a moderate amount of time (3-4 days)",2,2,"Most or all of the time (5-7 days)",3,3,options,,
6,,depression,"I felt that everything I did was an effort.",1.143168855,-1.499715207,0.037923095,1.589416217,"Rarely or none of the time (less than 1 day)",0,0,"Some of a little of the time (1-2 days)",1,1,"Occasionally or a moderate amount of time (3-4 days)",2,2,"Most or all of the time (5-7 days)",3,3,options,,
7,,depression,"I thought my life had been a failure.",1.95822496,-0.406740355,0.429305714,1.327868177,"Rarely or none of the time (less than 1 day)",0,0,"Some of a little of the time (1-2 days)",1,1,"Occasionally or a moderate amount of time (3-4 days)",2,2,"Most or all of the time (5-7 days)",3,3,options,,
8,,depression,"I felt fearful.",1.315947369,-0.507505436,0.606582816,1.960103866,"Rarely or none of the time (less than 1 day)",0,0,"Some of a little of the time (1-2 days)",1,1,"Occasionally or a moderate amount of time (3-4 days)",2,2,"Most or all of the time (5-7 days)",3,3,options,,
9,,depression,"I was happy.",1.859296723,-1.034792058,0.316628846,1.651762482,"Rarely or none of the time (less than 1 day)",0,0,"Some of a little of the time (1-2 days)",1,1,"Occasionally or a moderate amount of time (3-4 days)",2,2,"Most or all of the time (5-7 days)",3,3,options,,
10,,depression,"I talked less than usual.",1.539378198,-0.835879751,0.383949535,1.636289161,"Rarely or none of the time (less than 1 day)",0,0,"Some of a little of the time (1-2 days)",1,1,"Occasionally or a moderate amount of time (3-4 days)",2,2,"Most or all of the time (5-7 days)",3,3,options,,
11,,depression,"I felt lonely.",2.041455976,-1.289546574,-0.345659031,0.622266163,"Rarely or none of the time (less than 1 day)",0,0,"Some of a little of the time (1-2 days)",1,1,"Occasionally or a moderate amount of time (3-4 days)",2,2,"Most or all of the time (5-7 days)",3,3,options,,
12,,depression,"I had crying spells.&nbsp;",1.455642462,0.107578639,1.097988545,2.266306144,"Rarely or none of the time (less than 1 day)",0,0,"Some of a little of the time (1-2 days)",1,1,"Occasionally or a moderate amount of time (3-4 days)",2,2,"Most or all of the time (5-7 days)",3,3,options,,
13,,depression,"I felt sad.",3.046641594,-1.130940165,-0.113405266,0.961427195,"Rarely or none of the time (less than 1 day)",0,0,"Some of a little of the time (1-2 days)",1,1,"Occasionally or a moderate amount of time (3-4 days)",2,2,"Most or all of the time (5-7 days)",3,3,options,,
14,,depression,"I felt that people disliked me.",1.541217531,-0.791001383,0.265475234,1.406707126,"Rarely or none of the time (less than 1 day)",0,0,"Some of a little of the time (1-2 days)",1,1,"Occasionally or a moderate amount of time (3-4 days)",2,2,"Most or all of the time (5-7 days)",3,3,options,,
15,,depression,"I could not get going",1.343685267,-1.468312223,0.063605816,1.352538967,"Rarely or none of the time (less than 1 day)",0,0,"Some of a little of the time (1-2 days)",1,1,"Occasionally or a moderate amount of time (3-4 days)",2,2,"Most or all of the time (5-7 days)",3,3,options,,
